,Learning rate,Weight decay,Batch size,Best Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train F1,Val F1,Train AUC,Val AUC,Test Accuracy,Test F1,Test AUC
All Sites,0.0001,0.0001,4,5,0.63,0.70,0.67,0.56,0.68,0.40,0.70,0.57,0.60,0.38,0.59
,0.0001,0.0001,8,4,0.69,0.75,0.61,0.61,0.61,0.29,0.65,0.58,0.57,0.22,0.59
,0.0001,0.0001,16,14,0.55,0.87,0.73,0.62,0.73,0.22,0.79,0.55,0.60,0.23,0.57
,0.0001,0.0001,32,13,0.63,0.73,0.65,0.60,0.66,0.42,0.72,0.58,0.56,0.36,0.56
,0.001,0.0001,4,14,0.11,0.76,0.97,0.65,0.97,0.57,0.99,0.66,0.61,0.52,0.66
,0.001,0.0001,8,12,0.12,0.93,0.97,0.61,0.97,0.30,0.99,0.64,0.59,0.35,0.65
,0.001,0.0001,16,4,0.60,1.29,0.66,0.58,0.67,0.00,0.74,0.58,0.58,0.09,0.59
,0.001,0.0001,32,14,0.15,2.60,0.96,0.59,0.96,0.03,0.99,0.51,0.59,0,0.51
,0.0003,0.0001,4,13,0.18,1.19,0.93,0.61,0.94,0.22,0.98,0.57,0.64,0.25,0.62
,0.0003,0.0001,8,15,0.14,0.80,0.96,0.59,0.96,0.51,0.99,0.61,0.60,0.49,0.61
,0.0003,0.0001,16,11,0.39,1.11,0.82,0.61,0.83,0.19,0.91,0.57,0.61,0.26,0.60
,0.0003,0.0001,32,15,0.37,1.14,0.85,0.61,0.85,0.15,0.92,0.56,0.56,0.13,0.59
,0.0003,0.00001,4,13,0.18,1.21,0.93,0.61,0.94,0.22,0.98,0.58,0.65,0.28,0.62
,0.0003,0.00001,8,4,0.63,0.80,0.65,0.59,0.66,0.14,0.71,0.59,0.58,0.16,0.57
NYU Only,0.0001,0.0001,8,6,0.5145,0.6506,0.7266,0.7407,0.6465,0.7200,0.8204,0.7111,0.46,0.48,0.41
